0<=x<30; y0=50+0.6x; interpolation
6750<=x<6780; y225=280+-0.0333333x; interpolation
6780<=x<6810; y226=5704+-0.833333x; interpolation
6810<=x<6840; y227=710+-0.1x; interpolation
6840<=x<6870; y228=-9094+1.33333x; interpolation
6870<=x<6900; y229=-621+0.1x; interpolation
6900<=x<6930; y230=-621+0.1x; interpolation
6930<=x<6960; y231=303+-0.0333333x; interpolation
6960<=x<6990; y232=303+-0.0333333x; interpolation
6990<=x<7020; y233=303+-0.0333333x; interpolation
7020<=x<7050; y234=2175+-0.3x; interpolation
7050<=x<7080; y235=-1350+0.2x; interpolation
7080<=x<7110; y236=-1586+0.233333x; interpolation
7110<=x<7140; y237=3865+-0.533333x; interpolation
7140<=x<7170; y238=-3989+0.566667x; interpolation
7170<=x<7200; y239=791+-0.1x; interpolation
7200<=x<7230; y240=551+-0.0666667x; interpolation
7230<=x<7260; y241=-895+0.133333x; interpolation
7260<=x<7290; y242=4429+-0.6x; interpolation
7290<=x<7320; y243=-1403+0.2x; interpolation
7320<=x<7350; y244=1525+-0.2x; interpolation
7350<=x<7380; y245=-435+0.0666667x; interpolation
7380<=x<7410; y246=-3141+0.433333x; interpolation
7410<=x<7440; y247=3775+-0.5x; interpolation
7440<=x<7470; y248=-4409+0.6x; interpolation
7470<=x<7500; y249=820+-0.1x; interpolation
7500<=x<7530; y250=70+0x; interpolation
7530<=x<7560; y251=70+0x; interpolation
7560<=x<7590; y252=3850+-0.5x; interpolation
7590<=x<7620; y253=-198+0.0333333x; interpolation
7620<=x<7650; y254=-4262+0.566667x; interpolation
7650<=x<7680; y255=583+-0.0666667x; interpolation
7680<=x<7710; y256=71+0x; interpolation
7710<=x<7740; y257=-443+0.0666667x; interpolation
7740<=x<7770; y258=4975+-0.633333x; interpolation
7770<=x<7800; y259=-464+0.0666667x; interpolation
7800<=x<7830; y260=-4104+0.533333x; interpolation
7830<=x<7860; y261=3987+-0.5x; interpolation
7860<=x<7890; y262=-4397+0.566667x; interpolation
7890<=x<7920; y263=74+0x; interpolation
7920<=x<7950; y264=866+-0.1x; interpolation
7950<=x<7980; y265=71+0x; interpolation
7980<=x<8010; y266=4327+-0.533333x; interpolation
8010<=x<8040; y267=-3950+0.5x; interpolation
8040<=x<8070; y268=4626+-0.566667x; interpolation
8070<=x<8100; y269=-5058+0.633333x; interpolation
8100<=x<8130; y270=4122+-0.5x; interpolation
8130<=x<8160; y271=-485+0.0666667x; interpolation
8160<=x<8190; y272=1147+-0.133333x; interpolation
8190<=x<8220; y273=-5132+0.633333x; interpolation
8220<=x<8250; y274=622+-0.0666667x; interpolation
8250<=x<8280; y275=3922+-0.466667x; interpolation
8280<=x<8310; y276=-4082+0.5x; interpolation
8310<=x<8340; y277=4505+-0.533333x; interpolation
8340<=x<8370; y278=-4391+0.533333x; interpolation
8370<=x<8400; y279=910+-0.1x; interpolation
8400<=x<8430; y280=4270+-0.5x; interpolation
8430<=x<8460; y281=-5003+0.6x; interpolation
8460<=x<8490; y282=2611+-0.3x; interpolation
8490<=x<8520; y283=3743+-0.433333x; interpolation
8520<=x<8550; y284=-1369+0.166667x; interpolation
8550<=x<8580; y285=-4219+0.5x; interpolation
8580<=x<8610; y286=4647+-0.533333x; interpolation
8610<=x<8640; y287=-4824+0.566667x; interpolation
8640<=x<8670; y288=3816+-0.433333x; interpolation
8670<=x<8700; y289=-3987+0.466667x; interpolation
8700<=x<8730; y290=6743+-0.766667x; interpolation
8730<=x<8760; y291=-6061+0.7x; interpolation
8760<=x<8790; y292=4743+-0.533333x; interpolation
8790<=x<8820; y293=-824+0.1x; interpolation
8820<=x<8850; y294=-3176+0.366667x; interpolation
8850<=x<8880; y295=-1111+0.133333x; interpolation
8880<=x<8910; y296=-223+0.0333333x; interpolation
8910<=x<8940; y297=1262+-0.133333x; interpolation
8940<=x<8970; y298=-1122+0.133333x; interpolation
8970<=x<9000; y299=5456+-0.6x; interpolation
9000<=x<9030; y300=1256+-0.133333x; interpolation
9030<=x<9060; y301=-5667+0.633333x; interpolation
9060<=x<9090; y302=3997+-0.433333x; interpolation
9090<=x<9120; y303=-4184+0.466667x; interpolation
9120<=x<9150; y304=3720+-0.4x; interpolation
9150<=x<9180; y305=2195+-0.233333x; interpolation
9180<=x<9210; y306=6479+-0.7x; interpolation
9210<=x<9240; y307=1874+-0.2x; interpolation
9240<=x<9270; y308=-9522+1.03333x; interpolation
9270<=x<9300; y309=-4269+0.466667x; interpolation
9300<=x<9330; y310=4101+-0.433333x; interpolation
9330<=x<9360; y311=-2119+0.233333x; interpolation
9360<=x<9390; y312=1937+-0.2x; interpolation
9390<=x<9420; y313=-4323+0.466667x; interpolation
9420<=x<9450; y314=1957+-0.2x; interpolation
9450<=x<9480; y315=-1823+0.2x; interpolation
9480<=x<9510; y316=2917+-0.3x; interpolation
9510<=x<9540; y317=2917+-0.3x; interpolation
9540<=x<9570; y318=-1853+0.2x; interpolation
9570<=x<9600; y319=-3129+0.333333x; interpolation
9600<=x<9630; y320=1671+-0.166667x; interpolation
9630<=x<9660; y321=-2502+0.266667x; interpolation
9660<=x<9690; y322=3616+-0.366667x; interpolation
9690<=x<9720; y323=2647+-0.266667x; interpolation
9720<=x<9750; y324=-5453+0.566667x; interpolation
9750<=x<9780; y325=5597+-0.566667x; interpolation
9780<=x<9810; y326=-5813+0.6x; interpolation
9810<=x<9840; y327=400+-0.0333333x; interpolation
9840<=x<9870; y328=3024+-0.3x; interpolation
9870<=x<9900; y329=-2569+0.266667x; interpolation
9900<=x<9930; y330=731+-0.0666667x; interpolation
9930<=x<9960; y331=-262+0.0333333x; interpolation
9960<=x<9990; y332=-1258+0.133333x; interpolation
9990<=x<10020; y333=407+-0.0333333x; interpolation
10020<=x<10050; y334=6085+-0.6x; interpolation
10050<=x<10080; y335=-6310+0.633333x; interpolation
10080<=x<10110; y336=6458+-0.633333x; interpolation
10110<=x<10140; y337=-282+0.0333333x; interpolation
10140<=x<10170; y338=-620+0.0666667x; interpolation
10170<=x<10200; y339=1075+-0.1x; interpolation
10200<=x<10230; y340=-6065+0.6x; interpolation
10230<=x<10260; y341=5870+-0.566667x; interpolation
10260<=x<10290; y342=-5416+0.533333x; interpolation
10290<=x<10320; y343=415+-0.0333333x; interpolation
10320<=x<10350; y344=415+-0.0333333x; interpolation
10350<=x<10380; y345=4555+-0.433333x; interpolation
10380<=x<10410; y346=-4095+0.4x; interpolation
10410<=x<10440; y347=4580+-0.433333x; interpolation
10440<=x<10470; y348=-2728+0.266667x; interpolation
10470<=x<10500; y349=2507+-0.233333x; interpolation
10500<=x<10530; y350=-4493+0.433333x; interpolation
10530<=x<10560; y351=-281+0.0333333x; interpolation
10560<=x<10590; y352=423+-0.0333333x; interpolation
10590<=x<10620; y353=70+0x; interpolation
10620<=x<10650; y354=-992+0.1x; interpolation
10650<=x<10680; y355=1493+-0.133333x; interpolation
10680<=x<10710; y356=5409+-0.5x; interpolation
10710<=x<10740; y357=-6015+0.566667x; interpolation
10740<=x<10770; y358=5799+-0.533333x; interpolation
10770<=x<10800; y359=-6407+0.6x; interpolation
10800<=x<10830; y360=7633+-0.7x; interpolation
10830<=x<10860; y361=-1031+0.1x; interpolation
10860<=x<10890; y362=-5737+0.533333x; interpolation
10890<=x<10920; y363=71+0x; interpolation
10920<=x<10950; y364=-657+0.0666667x; interpolation
10950<=x<10980; y365=1168+-0.1x; interpolation
10980<=x<11010; y366=-1028+0.1x; interpolation
11010<=x<11040; y367=6679+-0.6x; interpolation
11040<=x<11070; y368=-6569+0.6x; interpolation
11070<=x<11100; y369=6346+-0.566667x; interpolation
11100<=x<11130; y370=-5864+0.533333x; interpolation
11130<=x<11160; y371=6379+-0.566667x; interpolation
11160<=x<11190; y372=-317+0.0333333x; interpolation
11190<=x<11220; y373=-5539+0.5x; interpolation
11220<=x<11250; y374=4933+-0.433333x; interpolation
11250<=x<11280; y375=-4067+0.366667x; interpolation
11280<=x<11310; y376=4581+-0.4x; interpolation
11310<=x<11340; y377=-5598+0.5x; interpolation
11340<=x<11370; y378=5742+-0.5x; interpolation
11370<=x<11400; y379=-5249+0.466667x; interpolation
11400<=x<11430; y380=2351+-0.2x; interpolation
11430<=x<11460; y381=15686+-1.36667x; interpolation
11460<=x<11490; y382=-10290+0.9x; interpolation
11490<=x<11520; y383=-715+0.0666667x; interpolation
11520<=x<11550; y384=-6859+0.6x; interpolation
11550<=x<11580; y385=7001+-0.6x; interpolation
11580<=x<11610; y386=-6895+0.6x; interpolation
11610<=x<11640; y387=6650+-0.566667x; interpolation
11640<=x<11670; y388=-6542+0.566667x; interpolation
11670<=x<11700; y389=6295+-0.533333x; interpolation
11700<=x<11730; y390=-6575+0.566667x; interpolation
11730<=x<11760; y391=6328+-0.533333x; interpolation
11760<=x<11790; y392=-336+0.0333333x; interpolation
11790<=x<11820; y393=-4659+0.4x; interpolation
11820<=x<11850; y394=5191+-0.433333x; interpolation
11850<=x<11880; y395=-5474+0.466667x; interpolation
11880<=x<11910; y396=862+-0.0666667x; interpolation
11910<=x<11940; y397=-1917+0.166667x; interpolation
11940<=x<11970; y398=1267+-0.1x; interpolation
11970<=x<12000; y399=70+0x; interpolation
12000<=x<12030; y400=-330+0.0333333x; interpolation
12030<=x<12060; y401=6487+-0.533333x; interpolation
12060<=x<12090; y402=-6779+0.566667x; interpolation
12090<=x<12120; y403=6520+-0.533333x; interpolation
12120<=x<12150; y404=-6408+0.533333x; interpolation
12150<=x<12180; y405=6552+-0.533333x; interpolation
12180<=x<12210; y406=-6440+0.533333x; interpolation
12210<=x<12240; y407=6991+-0.566667x; interpolation
12240<=x<12270; y408=-761+0.0666667x; interpolation
12270<=x<12300; y409=-5669+0.466667x; interpolation
12300<=x<12330; y410=5401+-0.433333x; interpolation
12330<=x<12360; y411=-6107+0.5x; interpolation
12360<=x<12390; y412=6253+-0.5x; interpolation
12390<=x<12420; y413=-5311+0.433333x; interpolation
12420<=x<12450; y414=899+-0.0666667x; interpolation
12450<=x<12480; y415=5879+-0.466667x; interpolation
12480<=x<12510; y416=-6185+0.5x; interpolation
12510<=x<12540; y417=6325+-0.5x; interpolation
12540<=x<12570; y418=-781+0.0666667x; interpolation
12570<=x<12600; y419=-5390+0.433333x; interpolation
12600<=x<12630; y420=70+0x; interpolation
12630<=x<12660; y421=-1193+0.1x; interpolation
12660<=x<12690; y422=6403+-0.5x; interpolation
12690<=x<12720; y423=-5441+0.433333x; interpolation
12720<=x<12750; y424=5583+-0.433333x; interpolation
12750<=x<12780; y425=-5467+0.433333x; interpolation
12780<=x<12810; y426=5609+-0.433333x; interpolation
12810<=x<12840; y427=-5493+0.433333x; interpolation
12840<=x<12870; y428=5635+-0.433333x; interpolation
12870<=x<12900; y429=-5948+0.466667x; interpolation
12900<=x<12930; y430=5662+-0.433333x; interpolation
12930<=x<12960; y431=-5113+0.4x; interpolation
12960<=x<12990; y432=5687+-0.433333x; interpolation
12990<=x<13020; y433=-5138+0.4x; interpolation
13020<=x<13050; y434=5712+-0.433333x; interpolation
13050<=x<13080; y435=-6033+0.466667x; interpolation
13080<=x<13110; y436=943+-0.0666667x; interpolation
13110<=x<13140; y437=943+-0.0666667x; interpolation
13140<=x<13170; y438=4009+-0.3x; interpolation
13170<=x<13200; y439=-5649+0.433333x; interpolation
13200<=x<13230; y440=1391+-0.1x; interpolation
13230<=x<13260; y441=-2137+0.166667x; interpolation
13260<=x<13290; y442=3167+-0.233333x; interpolation
13290<=x<13320; y443=-3035+0.233333x; interpolation
13320<=x<13350; y444=1849+-0.133333x; interpolation
13350<=x<13380; y445=-821+0.0666667x; interpolation
13380<=x<13410; y446=963+-0.0666667x; interpolation
13410<=x<13440; y447=5433+-0.4x; interpolation
13440<=x<13470; y448=-6663+0.5x; interpolation
13470<=x<13500; y449=7256+-0.533333x; interpolation
13500<=x<13530; y450=-6694+0.5x; interpolation
13530<=x<13560; y451=6836+-0.5x; interpolation
13560<=x<13590; y452=-7628+0.566667x; interpolation
13590<=x<13620; y453=8227+-0.6x; interpolation
13620<=x<13650; y454=-8117+0.6x; interpolation
13650<=x<13680; y455=8263+-0.6x; interpolation
13680<=x<13710; y456=-2225+0.166667x; interpolation
13710<=x<13740; y457=7372+-0.533333x; interpolation
13740<=x<13770; y458=9204+-0.666667x; interpolation
13770<=x<13800; y459=-17418+1.26667x; interpolation
13800<=x<13830; y460=-4078+0.3x; interpolation
13830<=x<13860; y461=7447+-0.533333x; interpolation
13860<=x<13890; y462=-6875+0.5x; interpolation
13890<=x<13920; y463=7478+-0.533333x; interpolation
13920<=x<13950; y464=-7834+0.566667x; interpolation
13950<=x<13980; y465=8441+-0.6x; interpolation
13980<=x<14010; y466=-7403+0.533333x; interpolation
14010<=x<14040; y467=6607+-0.466667x; interpolation
14040<=x<14070; y468=-8369+0.6x; interpolation
14070<=x<14100; y469=8046+-0.566667x; interpolation
14100<=x<14130; y470=-7464+0.533333x; interpolation
14130<=x<14160; y471=7608+-0.533333x; interpolation
14160<=x<14190; y472=-416+0.0333333x; interpolation
14190<=x<14220; y473=-5619+0.4x; interpolation
14220<=x<14250; y474=5283+-0.366667x; interpolation
14250<=x<14280; y475=-6117+0.433333x; interpolation
14280<=x<14310; y476=6259+-0.433333x; interpolation
14310<=x<14340; y477=-6620+0.466667x; interpolation
14340<=x<14370; y478=6764+-0.466667x; interpolation
14370<=x<14400; y479=-7606+0.533333x; interpolation
14400<=x<14430; y480=554+-0.0333333x; interpolation
14430<=x<14460; y481=8731+-0.6x; interpolation
